"County","General Fund M&O Tax Rate","General Fund I&S Tax Rate","Special Road & Bridge Fund M&O Tax Rate","Special Road & Bridge Fund I&S Tax Rate","Farm-to-Market/Flood Control Fund M&O Tax Rate","Farm-to-Market/Flood Control I&S Tax Rate"
"Hamilton","$0.560500 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Hansford","$0.410134 ","$0.000000 ","$0.142748 ","$0.000000 ","$0.000000","$0.000000 "
"Hardeman","$0.656800 ","$0.028900 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Hardin","$0.490742 ","$0.011174 ","$0.074284 ","$0.000000 ","$0.000000","$0.000000 "
"Harris","$0.345000 ","$0.073010 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Harrison","$0.333900 ","$0.015900 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Hartley","$0.380000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Haskell","$0.374545 ","$0.000000 ","$0.053236 ","$0.000000 ","$0.094102","$0.000000 "
"Hays","$0.276600 ","$0.124600 ","$0.000000 ","$0.000000 ","$0.043800","$0.000000 "
"Hemphill","$0.335000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.113000","$0.000000 "
"Henderson","$0.394440 ","$0.000000 ","$0.024215 ","$0.000000 ","$0.059329","$0.000000 "
"Hidalgo","$0.511200 ","$0.068800 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Hill","$0.433067 ","$0.025974 ","$0.000000 ","$0.000000 ","$0.078737","$0.000000 "
"Hockley","$0.441460 ","$0.000000 ","$0.092420 ","$0.000000 ","$0.000000","$0.000000 "
"Hood","$0.326201 ","$0.049985 ","$0.000000 ","$0.000000 ","$0.039558","$0.000000 "
"Hopkins","$0.351825 ","$0.092817 ","$0.016100 ","$0.000000 ","$0.164150","$0.000000 "
"Houston","$0.476700 ","$0.063300 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Howard","$0.440000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Hudspeth","$0.732394 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Hunt","$0.482898 ","$0.029571 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Hutchinson","$0.540000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Irion","$0.504891 ","$0.062275 ","$0.000000 ","$0.000000 ","$0.000000","$0.054552 "
"Jack","$0.345269 ","$0.041523 ","$0.108522 ","$0.000000 ","$0.000000","$0.000000 "
"Jackson","$0.398600 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.067100","$0.000000 "
"Jasper","$0.555400 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.102400","$0.000000 "
"Jeff Davis","$0.655621 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Jefferson","$0.345296 ","$0.019681 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Jim Hogg","$0.762300 ","$0.037700 ","$0.125074 ","$0.000000 ","$0.225565","$0.000000 "
"Jim Wells","$0.640720 ","$0.013865 ","$0.050197 ","$0.000000 ","$0.110931","$0.000000 "
"Johnson","$0.406872 ","$0.034828 ","$0.000000 ","$0.000000 ","$0.030300","$0.000000 "
"Jones","$0.628669 ","$0.071331 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Karnes","$0.229884 ","$0.015547 ","$0.048934 ","$0.000000 ","$0.000000","$0.000000 "
"Kaufman","$0.432200 ","$0.056500 ","$0.000000 ","$0.000000 ","$0.100000","$0.000000 "
"Kendall","$0.348980 ","$0.063720 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Kenedy","$0.757062 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Kent","$0.725045 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.135419","$0.000000 "
"Kerr","$0.400400 ","$0.067300 ","$0.000000 ","$0.000000 ","$0.032300","$0.000000 "
"Kimble","$0.346000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"King","$0.753100 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.277500","$0.000000 "
"Kinney","$0.608300 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.025400","$0.000000 "
"Kleberg","$0.761970 ","$0.033030 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Knox","$0.605490 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.124820","$0.000000 "
"La Salle","$0.424674 ","$0.294943 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Lamar","$0.375500 ","$0.018800 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Lamb","$0.794300 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Lampasas","$0.480390 ","$0.093800 ","$0.123500 ","$0.000000 ","$0.000000","$0.000000 "
"Lavaca","$0.459000 ","$0.013400 ","$0.000000 ","$0.000000 ","$0.127000","$0.000000 "
"Lee","$0.489300 ","$0.051000 ","$0.139700 ","$0.000000 ","$0.000000","$0.000000 "
"Leon","$0.459170 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Liberty","$0.548900 ","$0.029900 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Limestone","$0.721700 ","$0.000000 ","$0.026100 ","$0.000000 ","$0.024600","$0.000000 "
"Lipscomb","$0.442140 ","$0.000000 ","$0.133220 ","$0.000000 ","$0.080900","$0.000000 "
"Live Oak","$0.259020 ","$0.022990 ","$0.000000 ","$0.000000 ","$0.207990","$0.000000 "
"Llano","$0.260420 ","$0.000000 ","$0.041700 ","$0.000000 ","$0.000000","$0.000000 "
"Loving","$0.417900 ","$0.171900 ","$0.029700 ","$0.000000 ","$0.000000","$0.000000 "
"Lubbock","$0.321104 ","$0.037054 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Lynn","$0.703000 ","$0.000000 ","$0.147000 ","$0.000000 ","$0.000000","$0.000000 "
"Madison","$0.526500 ","$0.023500 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Marion","$0.439464 ","$0.000000 ","$0.067853 ","$0.000000 ","$0.000000","$0.000000 "
"Martin","$0.213859 ","$0.000000 ","$0.031917 ","$0.000000 ","$0.101066","$0.000000 "
"Mason","$0.505463 ","$0.000000 ","$0.104726 ","$0.000000 ","$0.000000","$0.000000 "
"Matagorda","$0.415070 ","$0.003910 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Maverick","$0.512000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"McCulloch","$0.530000 ","$0.121700 ","$0.002900 ","$0.000000 ","$0.000000","$0.000000 "
"McLennan","$0.480558 ","$0.024735 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"McMullen","$0.570000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Medina","$0.433900 ","$0.029800 ","$0.000000 ","$0.000000 ","$0.088000","$0.000000 "
"Menard","$0.672680 ","$0.067430 ","$0.000000 ","$0.000000 ","$0.009510","$0.000000 "
"Midland","$0.146147 ","$0.007022 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Milam","$0.664300 ","$0.035700 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Mills","$0.575200 ","$0.112000 ","$0.112400 ","$0.000000 ","$0.000000","$0.000000 "
"Mitchell","$0.480392 ","$0.062921 ","$0.000000 ","$0.000000 ","$0.065000","$0.000000 "
"Montague","$0.412500 ","$0.017300 ","$0.120200 ","$0.000000 ","$0.000000","$0.000000 "
"Montgomery","$0.392300 ","$0.074400 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Moore","$0.418917 ","$0.008317 ","$0.006415 ","$0.000000 ","$0.073868","$0.000000 "
"Morris","$0.392065 ","$0.009888 ","$0.089496 ","$0.000000 ","$0.000000","$0.000000 "
"Motley","$0.667630 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Nacogdoches","$0.530642 ","$0.051058 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Navarro","$0.492500 ","$0.018400 ","$0.000000 ","$0.000000 ","$0.009000","$0.000000 "
"Newton","$0.608713 ","$0.025995 ","$0.000000 ","$0.000000 ","$0.078538","$0.000000 "
"Nolan","$0.404148 ","$0.067104 ","$0.000000 ","$0.000000 ","$0.096698","$0.000000 "
"Nueces","$0.259816 ","$0.044276 ","$0.000000 ","$0.000000 ","$0.003899","$0.000000 "
