County,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Ellis,0.55%,0.57%,0.69%,0.79%,0.97%,0.99%,1.21%,1.48%
Erath,0.29%,0.25%,0.55%,0.45%,0.75%,1.32%,0.91%,1.08%
Falls,0.08%,0.09%,0.09%,0.00%,0.14%,0.23%,0.43%,0.14%
Fannin,0.74%,0.98%,0.91%,0.86%,0.93%,0.91%,1.07%,1.14%
Fayette,0.50%,0.69%,0.68%,0.94%,1.05%,0.92%,0.89%,0.49%
Fisher,1.37%,1.51%,1.07%,1.94%,N/A**,0.57%,0.59%,0.99%
Floyd,0.00%,0.08%,0.00%,0.09%,0.00%,0.16%,0.17%,0.23%
Foard,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%
Fort Bend,0.32%,0.39%,0.45%,0.57%,0.50%,0.45%,0.54%,0.58%
Franklin,0.33%,0.53%,0.26%,0.38%,0.50%,0.75%,0.83%,0.64%
Freestone,0.56%,0.54%,0.65%,0.70%,0.87%,0.76%,0.86%,0.99%
Frio,0.17%,0.10%,0.07%,0.10%,0.19%,0.06%,0.03%,0.16%
Gaines,2.63%,2.94%,3.72%,4.32%,4.35%,4.83%,6.26%,8.78%
Galveston,0.53%,0.69%,0.78%,0.91%,1.07%,0.99%,1.19%,1.26%
Garza,0.11%,0.45%,0.54%,0.59%,0.30%,0.60%,0.60%,0.42%
Gillespie,1.20%,1.40%,1.53%,1.75%,1.64%,1.77%,2.04%,2.92%
Glasscock,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,1.68%
Goliad,0.23%,0.16%,0.23%,0.38%,0.49%,0.46%,0.71%,0.45%
Gonzales,0.21%,0.19%,0.16%,0.26%,0.20%,0.22%,0.15%,0.20%
Gray,0.23%,0.29%,0.21%,0.28%,0.28%,0.12%,0.30%,0.18%
Grayson,0.55%,0.63%,0.89%,0.85%,0.95%,0.97%,1.17%,1.46%
Gregg,1.07%,0.69%,1.28%,0.61%,0.63%,0.95%,0.87%,1.11%
Grimes,0.33%,0.42%,0.30%,0.48%,0.57%,0.61%,0.85%,0.95%
Guadalupe,0.29%,0.49%,0.56%,0.73%,0.55%,0.68%,0.63%,0.87%
Hale,0.19%,0.17%,0.20%,0.29%,0.28%,0.17%,0.40%,0.45%
Hall,0.00%,0.00%,0.00%,0.00%,0.21%,0.16%,0.61%,0.31%
Hamilton,1.33%,1.00%,1.79%,1.05%,1.12%,0.87%,0.69%,0.96%
Hansford,0.46%,1.09%,1.04%,0.97%,1.19%,1.33%,1.11%,1.03%
Hardeman,0.13%,0.43%,0.44%,0.86%,1.37%,1.68%,2.84%,0.00%
Hardin,0.53%,0.52%,0.60%,0.63%,0.48%,0.84%,0.96%,1.02%
Harris,0.33%,0.39%,0.43%,0.57%,0.59%,0.62%,0.72%,0.83%
Harrison,0.27%,0.40%,0.42%,0.49%,0.66%,0.49%,0.62%,0.78%
Hartley,1.50%,1.48%,1.47%,1.50%,1.10%,2.24%,4.06%,2.69%
Haskell,0.11%,0.00%,0.12%,0.25%,0.24%,0.40%,0.37%,0.65%
Hays,1.17%,0.83%,1.39%,1.57%,1.75%,1.96%,2.20%,2.09%
Hemphill,0.71%,1.47%,1.00%,0.62%,0.86%,1.03%,0.63%,1.35%
Henderson,0.26%,0.31%,0.44%,0.66%,0.71%,0.84%,1.10%,1.30%
Hidalgo,0.05%,0.05%,0.07%,0.10%,0.05%,0.10%,0.14%,0.19%
Hill,0.33%,0.43%,0.71%,0.48%,0.47%,0.54%,0.66%,0.75%
Hockley,0.57%,0.46%,0.59%,0.56%,0.47%,0.59%,0.88%,0.58%
Hood,1.05%,1.17%,1.34%,0.80%,1.13%,1.73%,2.19%,2.07%
Hopkins,0.31%,0.43%,0.52%,0.59%,0.56%,0.77%,0.94%,1.02%
Houston,0.15%,0.17%,0.17%,0.17%,0.15%,0.57%,0.77%,1.07%
Howard,0.22%,0.28%,0.37%,0.59%,0.75%,0.71%,0.90%,0.86%
Hudspeth,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.78%,0.18%
Hunt,0.33%,0.50%,0.58%,0.72%,0.80%,0.77%,0.82%,0.98%
Hutchinson,0.40%,0.52%,0.42%,0.67%,0.81%,0.89%,0.77%,1.29%
Irion,0.91%,0.92%,1.33%,1.24%,1.80%,0.62%,0.77%,1.08%
Jack,0.07%,0.07%,0.65%,0.26%,0.39%,0.78%,1.05%,0.95%
Jackson,0.57%,0.51%,0.61%,0.41%,0.51%,0.55%,0.76%,0.60%
Jasper,0.27%,0.51%,0.50%,0.47%,0.52%,0.64%,1.02%,1.38%
Jeff Davis,3.17%,2.03%,2.17%,3.07%,2.03%,0.30%,0.31%,3.19%
Jefferson,0.16%,0.19%,0.30%,0.37%,0.41%,0.53%,0.49%,0.66%
Jim Hogg,0.00%,0.00%,0.28%,0.29%,0.18%,0.09%,0.00%,0.09%
Jim Wells,0.07%,0.09%,0.07%,0.07%,0.12%,0.16%,0.21%,0.20%
Johnson,0.52%,0.70%,0.74%,0.89%,0.95%,1.26%,1.55%,1.76%
Jones,0.04%,0.20%,0.30%,0.22%,0.43%,0.59%,0.66%,0.50%
Karnes,0.46%,0.10%,0.48%,0.47%,0.58%,0.38%,0.46%,0.49%
Kaufman,0.40%,0.41%,0.49%,0.49%,0.63%,0.67%,0.85%,0.98%
Kendall,1.24%,1.73%,2.10%,2.41%,2.97%,2.50%,2.95%,3.04%
Kenedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Kent,1.31%,1.35%,1.48%,1.56%,2.65%,2.65%,0.00%,0.00%
Kerr,0.93%,1.00%,1.36%,1.33%,1.44%,1.58%,1.70%,1.95%
Kimble,0.46%,0.48%,0.63%,0.16%,0.48%,0.00%,0.00%,0.87%
King,1.75%,1.96%,0.00%,0.00%,0.89%,0.87%,2.80%,0.00%
Kinney,0.00%,0.00%,0.68%,0.00%,0.62%,0.00%,0.00%,0.00%
Kleberg,0.47%,0.62%,0.51%,0.62%,0.69%,0.44%,0.47%,0.64%
Knox,0.28%,0.41%,0.26%,0.51%,0.25%,0.24%,0.28%,0.27%
Lamar,0.21%,0.36%,0.27%,0.30%,0.43%,0.75%,0.90%,1.11%
Lamb,0.00%,0.03%,0.07%,0.00%,0.05%,0.07%,0.19%,0.35%
Lampasas,0.92%,0.77%,0.83%,5.02%,1.19%,1.46%,1.74%,2.02%
Lasalle,0.33%,0.00%,0.34%,0.22%,N/A**,0.31%,0.31%,0.15%
Lavaca,0.12%,0.24%,0.15%,0.27%,0.38%,0.47%,0.52%,0.55%
Lee,0.31%,0.54%,0.45%,0.57%,0.61%,0.76%,0.65%,0.81%
Leon,0.29%,0.36%,0.33%,0.37%,0.26%,0.26%,0.78%,0.90%
Liberty,0.25%,0.34%,0.29%,0.39%,0.35%,0.52%,0.57%,0.73%
Limestone,0.13%,0.13%,0.12%,0.23%,0.28%,0.32%,0.36%,0.47%
Lipscomb,0.26%,0.00%,0.00%,0.65%,0.43%,0.15%,0.13%,0.49%
Live Oak,0.29%,0.36%,0.52%,0.40%,0.49%,0.34%,0.41%,0.63%
Llano,1.04%,0.86%,1.21%,1.19%,1.39%,1.38%,1.35%,1.28%
Loving,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Lubbock,0.45%,0.59%,0.64%,0.85%,1.01%,1.11%,1.31%,1.31%
Lynn,0.41%,0.65%,0.98%,0.87%,1.07%,0.88%,0.88%,1.49%
Madison,0.16%,0.33%,0.39%,0.46%,0.48%,0.40%,0.40%,0.71%
Marion,0.24%,0.17%,0.17%,0.18%,0.17%,0.42%,1.00%,1.14%
Martin,0.51%,1.01%,0.47%,0.74%,3.23%,0.75%,0.74%,1.14%
Mason,0.48%,0.80%,0.92%,1.36%,1.90%,1.89%,1.35%,2.17%
Matagorda,1.49%,0.27%,0.46%,0.59%,0.51%,0.67%,0.69%,0.91%
Maverick,0.01%,0.02%,0.03%,0.06%,0.03%,0.03%,0.07%,0.05%
Mcculloch,0.13%,0.28%,0.47%,0.32%,0.54%,0.47%,0.36%,0.65%
Mclennan,0.22%,0.27%,0.26%,0.31%,0.33%,0.35%,0.48%,0.56%
Mcmullen,0.61%,0.97%,0.88%,0.00%,0.40%,0.81%,1.21%,0.41%
Medina,0.19%,0.22%,0.30%,0.34%,0.42%,0.34%,0.30%,0.44%
Menard,1.32%,0.00%,0.00%,0.00%,0.00%,0.71%,0.36%,0.00%
Midland,0.32%,0.20%,0.39%,0.67%,0.51%,0.79%,0.94%,0.84%
Milam,0.35%,0.27%,0.55%,0.46%,0.89%,0.73%,0.66%,0.64%
Mills,0.70%,0.98%,1.09%,0.86%,1.08%,1.65%,1.61%,1.97%
Mitchell,0.07%,0.30%,0.42%,0.67%,0.62%,0.21%,0.22%,0.08%
Montague,0.53%,0.64%,3.94%,0.49%,0.73%,0.78%,1.46%,2.30%
Montgomery,0.88%,1.06%,1.17%,0.72%,1.74%,1.73%,1.76%,1.94%
Moore,0.14%,0.12%,0.16%,0.18%,0.17%,0.19%,0.12%,0.15%
Morris,0.00%,0.08%,0.05%,0.07%,0.10%,0.11%,0.16%,0.28%
Motley,0.00%,0.55%,0.00%,0.00%,N/A**,0.00%,0.65%,0.62%
Nacogdoches,0.29%,0.43%,0.60%,0.66%,0.54%,1.25%,1.32%,0.80%
Navarro,0.21%,0.25%,0.24%,0.35%,0.35%,0.35%,0.28%,0.30%
