County,District,Exemp_12.13,Exemp_13.14,Exemp_14.15,Exemp_15.16,Exemp_16.17,Exemp_17.18,Type,Pop_16
bexar,school of science and technology discove,1.73,1.41,1.47,1.35,0.72,NA,o,410
bexar,shekinah radiance academy,0.83,0.9,1.67,2.88,NA,NA,i,NA
bexar,shepherd of the hills lutheran school sa,0,0.8,1.63,1.67,2.5,1.96,o,319
bexar,somerset isd,0,0,0.13,0.2,0.35,0.23,g,4067
bexar,south plains academy,NA,NA,NA,NA,0,0,o,NA
bexar,south san antonio isd,0,0.02,0,0.01,0.09,0.06,b,9631
bexar,southside isd,0.19,0.13,0.43,0.42,0.52,0.56,b,5713
bexar,southwest isd,0.08,0.13,0.19,0.23,0.2,0.27,b,13891
bexar,southwest preparatory school,0,0.64,1.47,0.59,0.94,1.1,i,908
bexar,st anthony catholic high sch,0,0,0,0.77,NA,0,o,NA
bexar,st anthony catholic sch,0,0,0,0,0,0,o,410
bexar,st gerard catholic high sch,0,0,0,0,NA,0,o,NA
bexar,st gregory the great catholic sch,0,0,0,0,0,0,o,620
bexar,st james the apostle sch,0,0,0,0,0,NA,o,227
bexar,st john berchmans sch,NA,0,0,0,0,0,o,NA
bexar,st john bosco sch,0,0,0,0,0,NA,o,369
bexar,st leo the great catholic sch,0,NA,NA,0,NA,NA,o,NA
bexar,st luke's catholic sch,0,0,0,0,0,0,o,518
bexar,st margaret mary's sch,NA,0,0,0,0,NA,o,NA
bexar,st mary magdalen catholic sch,NA,0,0,0,0,0,o,NA
bexar,st mary s hall,0.4,0.3,0.5,0,0,NA,o,1002
bexar,st matthew catholic sch,0,0,0,0,0,0,o,731
bexar,st monica catholic sch,NA,NA,0,0,0,0,o,NA
bexar,st paul catholic sch,NA,0,0,1.39,0,0.6,o,NA
bexar,st peter prince of apostles sch,0,0,0,0,0,0,o,185
bexar,st pius x catholic sch,NA,0,0,NA,0,0,o,NA
bexar,st thomas more sch,0,0,0,0,0,0,o,152
bexar,st. george episcopal school,0.6,1.21,1.71,1.05,1.75,1.78,o,515
bexar,st. luke's episcopal school,0.34,0.29,0.62,0.68,1.95,2.99,o,320
bexar,st. thomas episcopal school,0,1.41,0.58,1.24,NA,NA,o,NA
bexar,sunshine cottage,0,0,1.41,2.53,5.75,2.76,o,126
bexar,the atonement academy,0,0,1.42,0.2,2.92,2.07,o,572
bexar,the christian school of castle hill,NA,NA,NA,NA,3.74,NA,o,NA
bexar,the montessori school of san antonio,1.68,2.48,NA,2.79,2.32,3.04,o,NA
bexar,the winston school san antonio,1.54,1.41,1.53,0.49,0.51,1.05,o,192
bexar,tmi - the episcopal school of texas,1.15,0.85,0.42,0.64,1.08,0.43,o,453
bexar,trinity christian academy san antonio,0,0,NA,0,0.74,1.95,o,NA
bexar,trinity united methodist school,0,NA,NA,NA,0,NA,o,NA
blanco,blanco isd,2.2,2.55,NA,1.65,2.91,2.62,g,1027
blanco,johnson city isd,3.78,4.26,4.57,5.04,4.28,4.88,h,690
borden,borden county isd,0.84,1.17,1.63,2.04,3.15,4.24,h,254
bosque,clifton isd,0.82,0.67,0.63,1.08,0.94,1.25,g,995
bosque,cranfills gap isd,0,0,0,0.82,1.47,1.59,h,136
bosque,iredell isd,1.57,2.27,3.15,3.85,4.44,2.96,h,140
bosque,kopperl isd,0.45,0.49,0,0.48,1.01,1.4,h,219
bosque,meridian isd,0.6,0.6,0.84,0,0.65,0,h,479
bosque,morgan isd,0,0,0,0,0,0,h,125
bosque,valley mills isd,0,0,0,0,0.32,0,h,624
bosque,walnut springs isd,0,0,1.27,0,0,0.62,h,191
bowie,dekalb isd,0,0.14,0.25,0.36,1.34,0.26,h,824
bowie,hooks isd,0.11,0.67,1.17,0.59,0.66,1.17,g,923
bowie,hubbard isd,0,NA,1.27,0,0,1.3,h,84
bowie,leary isd,0,0,0,3.28,3.67,NA,h,109
bowie,liberty-eylau isd,0.44,0.5,0.43,0.55,0.74,0.93,g,2543
bowie,malta isd,1.72,2.07,0.79,0,1.34,1.06,h,149
bowie,maud isd,0.89,1.79,1.32,0.67,1.36,1.34,h,478
bowie,new boston isd,1.18,0.93,1.2,0.88,1.21,0.88,g,1345
bowie,pleasant grove isd,2.17,2.17,2.03,1.67,1.6,1.55,g,2127
bowie,red lick isd,1.36,0.62,1.65,3.23,2.4,6.45,f,504
bowie,redwater isd,1.08,1.19,1.36,2.11,2.33,1.61,g,1117
bowie,simms isd,1.41,1.83,2.01,2.19,1.35,1.75,h,494
bowie,st. james day school,0.93,5.26,4.8,5.26,5.56,9.21,o,188
bowie,texarkana isd,0.93,1.07,1.09,1.15,1.1,1.16,e,7169
brazoria,alvin isd,0.52,0.6,0.59,0.62,0.62,0.75,b,23587
brazoria,angleton christian school,NA,5.19,1.78,2.17,1.47,11.79,o,NA
